1 3069168 3438621 gene_name "PRDM16"
1 2403964 2413797 gene_name "PEX10"
1 10054445 10054781 gene_name "RPL21P21"
1 3944547 3949024 gene_name "LINC01345"
1 4175528 4175899 gene_name "EEF1DP6"
1 10472288 10630758 gene_name "PEX14"
1 4571481 4594016 gene_name "LINC01646"
1 4412027 4424689 gene_name "LINC01777"
1 5086459 5090899 gene_name "LINC02782"
1 2425980 2505532 gene_name "PLCH2"
1 9292894 9369532 gene_name "SPSB1"
1 9035106 9088478 gene_name "SLC2A5"
1 4973381 4981568 gene_name "LINC02781"
1 11425257 11425821 gene_name "MTCYBP45"
1 16369150 16369530 gene_name "RPL22P3"
1 9943428 9985501 gene_name "NMNAT1"
1 15191828 15192845 gene_name "MFFP1"
1 10058671 10059648 gene_name "PGAM1P11"
1 11479155 11537551 gene_name "DISP3"
1 2590639 2633016 gene_name "MMEL1"
1 15152532 15220478 gene_name "TMEM51"
1 16246840 16352480 gene_name "FBXO42"
1 18871430 18902724 gene_name "ALDH4A1"
1 2391775 2405442 gene_name "RER1"
1 2508537 2526597 gene_name "PANK4"
1 8026738 8122702 gene_name "ERRFI1-DT"
1 12230030 12512047 gene_name "VPS13D"
1 12220794 12221109 gene_name "RPL10P17"
1 9997206 10016021 gene_name "RBP7"
1 9100305 9129102 gene_name "GPR157"
1 22428838 22531157 gene_name "ZBTB40"
1 5862811 5992473 gene_name "NPHP4"
1 2528745 2530263 gene_name "HES5"
1 16241213 16241398 gene_name "MT1XP1"
1 16197854 16198357 gene_name "ARHGEF19-AS1"
1 16352575 16398145 gene_name "SZRD1"
1 18166929 18179346 gene_name "IGSF21-AS1"
1 22322840 22323331 gene_name "PPIAP34"
1 28369582 28500364 gene_name "PHACTR4"
1 25125053 25125454 gene_name "IFITM3P7"
1 27098809 27166981 gene_name "SLC9A1"
1 25543606 25568886 gene_name "LDLRAP1"
1 25959767 25998117 gene_name "PAFAH2"
1 28120449 28121321 gene_name "ARL8BP2"
1 4654609 4792534 gene_name "AJAP1"
