3R 17750129 17763188 gene_name "TyrR"
3R 3827684 3832402 gene_name "Doc{}RR42085"
3R 28641585 28642891 gene_name "CG14062"
3R 12634917 12636283 gene_name "CG11598"
3R 17622546 17622618 gene_name "tRNA:Ala-AGC-2-4"
3R 28820221 28824508 gene_name "CG1647"
3R 4774516 4775053 gene_name "CG44088"
3R 18023707 18025378 gene_name "CG7794"
3R 25358285 25360034 gene_name "ND-49L"
3R 28812568 28812641 gene_name "snoRNA:291"
3R 6534617 6534897 gene_name "INE-1{}5835"
3R 29799658 29801584 gene_name "Drice"
3R 6549036 6549983 gene_name "Pif2"
3R 19948443 19948907 gene_name "CG4783"
3R 29049493 29050721 gene_name "CG11837"
3R 24730155 24732465 gene_name "Doc{}1418"
3R 19718770 19718826 gene_name "INE-1{}5707"
3R 26622451 26623543 gene_name "TwdlB"
3R 25698727 25740465 gene_name "LpR2"
3R 23557412 23580077 gene_name "beat-IV"
3R 20042757 20048716 gene_name "CG33934"
3R 21138270 21140365 gene_name "meigo"
3R 30317381 30324914 gene_name "roo{}1458"
3R 26978541 26985706 gene_name "CG46313"
3R 26235325 26252932 gene_name "lncRNA:CR46061"
3R 21397781 21399742 gene_name "Ugt49B2"
3R 12472390 12473289 gene_name "Dm88{}1660"
3R 14567611 14568847 gene_name "CG8066"
3R 21119252 21127485 gene_name "slmb"
3R 18286620 18288777 gene_name "CG7131"
3R 16198000 16203083 gene_name "CG6126"
3R 18573091 18590726 gene_name "CG7694"
3R 22296870 22297544 gene_name "CR43696"
3R 30517059 30527037 gene_name "jdp"
3R 4334879 4337674 gene_name "Skp2"
3R 27967008 27988384 gene_name "betaTub97EF"
3R 19302731 19326217 gene_name "Dl"
3R 9304584 9311813 gene_name "Stalker{}1277"
3R 30253182 30254097 gene_name "CG18404"
3R 9743517 9744662 gene_name "CG31415"
3R 7973371 7974372 gene_name "1360{}1258"
3R 5374721 5374811 gene_name "I{}5202"
3R 28173725 28181097 gene_name "mdg1{}1442"
3R 11971694 11972896 gene_name "GC2"
3R 14288229 14288665 gene_name "lncRNA:CR45596"
3R 10461028 10462078 gene_name "lncRNA:CR44939"
3R 24815759 24817131 gene_name "asRNA:CR46096"
3R 8292335 8293609 gene_name "CG31463"
3R 26999752 27002961 gene_name "CG31077"
3R 9631641 9633673 gene_name "SpdS"
3R 12526188 12529076 gene_name "Hug"
3R 29950796 29969447 gene_name "TkR99D"
3R 13816231 13817127 gene_name "lncRNA:CR43642"
3R 27929662 27931376 gene_name "asRNA:CR46452"
3R 12486128 12487385 gene_name "Dm88{}1663"
3R 15666183 15690513 gene_name "pxb"
3R 21520928 21528598 gene_name "sp3"
3R 21116254 21117899 gene_name "ppan"
3R 21021044 21024163 gene_name "peg"
3R 13630873 13631379 gene_name "lncRNA:CR45594"
3R 17002875 17007208 gene_name "Irc"
3R 16149369 16151312 gene_name "Fer2"
3R 24229898 24231364 gene_name "lncRNA:CR45217"
3R 18719623 18719998 gene_name "lncRNA:CR46265"
3R 8349815 8352817 gene_name "Atg13"
3R 23536993 23538908 gene_name "Ugt303B2"
3R 5108678 5109178 gene_name "CG43131"
3R 4616733 4617016 gene_name "INE-1{}4443"
3R 15635468 15636489 gene_name "CG43335"
3R 16574543 16583663 gene_name "Scp2"
3R 21777203 21777847 gene_name "Polr1H"
3R 7124548 7126503 gene_name "CG10098"
3R 3734855 3745306 gene_name "Tim17b"
3R 21735909 21736296 gene_name "Sfp93F"
3R 7545733 7549124 gene_name "alpha-Est1"
3R 12231645 12232729 gene_name "Pglym87"
3R 28152964 28153752 gene_name "lncRNA:CR46079"
3R 11797244 11813207 gene_name "ClC-a"
3R 26454794 26455112 gene_name "CG43117"
3R 22923352 22924525 gene_name "CG6660"
3R 25808044 25808679 gene_name "lncRNA:CR45652"
3R 4602993 4603175 gene_name "INE-1{}4428"
3R 9687402 9692794 gene_name "p24-2"
3R 7770860 7771756 gene_name "CG11286"
3R 17128212 17129120 gene_name "CG31265"
3R 22133830 22296126 gene_name "SKIP"
3R 24358095 24360144 gene_name "CG18528"
3R 31596642 31612664 gene_name "CycG"
3R 20853305 20853358 gene_name "mir-1011"
3R 5813609 5818820 gene_name "CG42675"
3R 12705523 12712299 gene_name "PolQ"
3R 22489105 22491439 gene_name "CCT1"
3R 31262598 31263878 gene_name "CAH5"
3R 14609642 14618987 gene_name "CG14853"
3R 23696372 23699027 gene_name "prt"
3R 20617883 20621269 gene_name "CG5466"
3R 24573770 24574304 gene_name "lncRNA:CR46094"
3R 13712469 13714204 gene_name "lncRNA:CR34044"
3R 7486583 7493845 gene_name "alpha-Est10"
3R 12727759 12728459 gene_name "lncRNA:CR44231"
3R 22405939 22408640 gene_name "CG13855"
3R 21868003 21868770 gene_name "Cby"
3R 27707100 27710857 gene_name "CG12877"
3R 19705574 19712984 gene_name "blood{}1389"
3R 15763115 15763551 gene_name "CG12784"
3R 4602076 4602124 gene_name "INE-1{}4425"
3R 7000492 7001423 gene_name "lncRNA:CR45899"
3R 25383700 25384623 gene_name "CG31437"
3R 14396399 14396501 gene_name "mir-2281"
3R 7266065 7270809 gene_name "Syt4"
3R 24850627 24851385 gene_name "CG7006"
3R 26717871 26719806 gene_name "Yif1"
3R 24788054 24797955 gene_name "Ets96B"
3R 14157560 14160278 gene_name "CG31327"
3R 8204195 8204830 gene_name "CheA84a"
3R 15667978 15668676 gene_name "lncRNA:CR43849"
3R 8935716 8938395 gene_name "lncRNA:osk"
3R 26021823 26023127 gene_name "E(spl)m3-HLH"
3R 30643767 30645880 gene_name "CG31013"
3R 27535831 27537903 gene_name "lncRNA:CR44289"
3R 10896479 10897181 gene_name "lncRNA:CR45577"
3R 16756375 16762507 gene_name "diver{}1372"
3R 11430061 11430762 gene_name "Dtd"
3R 17624565 17624638 gene_name "tRNA:Thr-AGT-1-5"
3R 20106936 20107963 gene_name "CG31206"
3R 6053028 6053528 gene_name "lncRNA:CR44921"
3R 12403340 12406028 gene_name "Cyp9f2"
3R 6527508 6528674 gene_name "CG15185"
3R 17518210 17519084 gene_name "lncRNA:CR44349"
3R 29804290 29807127 gene_name "ncd"
3R 8735879 8747675 gene_name "CG9801"
3R 22584773 22586209 gene_name "CG6937"
3R 17613709 17614933 gene_name "CG14327"
3R 14109445 14110823 gene_name "Or88a"
3R 8674109 8675196 gene_name "mRpL19"
3R 7304592 7304954 gene_name "CG42544"
3R 7200970 7203450 gene_name "CG14609"
3R 29229161 29235302 gene_name "Usp1"
3R 12427795 12429282 gene_name "CG5641"
3R 19790122 19790194 gene_name "tRNA:Val-CAC-2-6"
3R 31968714 31968982 gene_name "INE-1{}5306"
3R 8094463 8099710 gene_name "Transpac{}1262"
3R 29928701 29930386 gene_name "alpha-Man-Ic"
3R 24107391 24108358 gene_name "CG10694"
3R 7326481 7327181 gene_name "lncRNA:TS14"
